chrom	pos	change
6	162701	gained
6	214026	gained
6	224444	gained
6	226282	gained
6	227918	gained
6	227919	gained
6	237213	gained
6	242047	gained
6	242048	gained
6	284612	gained
6	286057	gained
6	287423	gained
6	294416	gained
6	296079	gained
6	299059	gained
6	314792	gained
6	315377	gained
6	316157	gained
6	320425	gained
6	322255	gained
6	322610	gained
6	325125	gained
6	328069	gained
6	335594	gained
6	343401	gained
6	343402	gained
6	347887	gained
6	348049	gained
6	352920	gained
6	354106	gained
6	356194	gained
6	358655	gained
6	359621	gained
6	369456	gained
6	370738	gained
6	371055	gained
6	377838	gained
6	378867	gained
6	379527	gained
6	380788	gained
6	381028	gained
6	382109	gained
6	391988	gained
6	392864	gained
6	392865	gained
6	410415	gained
6	410491	gained
6	411062	gained
6	411603	gained
6	414121	gained
6	426267	gained
6	427453	gained
6	427454	gained
6	429859	gained
6	435547	gained
6	436022	gained
6	436557	gained
6	436558	gained
6	449279	gained
6	449736	gained
6	450979	gained
6	451008	gained
6	451145	gained
6	452730	gained
6	456141	gained
6	463422	gained
6	464860	gained
6	467771	gained
6	470383	gained
6	472482	gained
6	480627	gained
6	506780	gained
6	522855	gained
6	530257	gained
6	535666	gained
6	542157	gained
6	546846	gained
6	570194	gained
6	570195	gained
6	575582	gained
6	577819	gained
6	580321	gained
6	580322	gained
6	584159	gained
6	584160	gained
6	595761	gained
6	596041	gained
6	614373	gained
6	615182	gained
6	615183	gained
6	624155	gained
6	625069	gained
6	625231	gained
6	630585	gained
6	631270	gained
6	634720	gained
6	636987	gained
6	638690	gained
6	642937	gained
6	654137	gained
6	668698	gained
6	673591	gained
6	675654	gained
6	679343	gained
6	684268	gained
6	692699	gained
6	693472	gained
6	696353	gained
6	696698	gained
6	697135	gained
6	699651	gained
6	705820	gained
6	708229	gained
6	714181	gained
6	720081	gained
6	721632	gained
6	722715	gained
6	726040	gained
6	745142	gained
6	756883	gained
6	786535	gained
6	790909	gained
6	798444	gained
6	836201	gained
6	846917	gained
6	846918	gained
6	849229	gained
6	859113	gained
6	859827	gained
6	861927	gained
6	866829	gained
6	869767	gained
6	885855	gained
6	888162	gained
6	892737	gained
6	892845	gained
6	893251	gained
6	893798	gained
6	896837	gained
6	905332	gained
6	914393	gained
6	917221	gained
6	924376	gained
6	924742	gained
6	934265	gained
6	936839	gained
6	940703	gained
6	942616	gained
6	953851	gained
6	963494	gained
6	965574	gained
6	968553	gained
6	971453	gained
6	983601	gained
6	984519	gained
6	994016	gained
6	998811	gained
6	998812	gained
6	1021470	gained
6	1025241	gained
6	1025477	gained
6	1029614	gained
6	1031970	gained
6	1033315	gained
6	1033316	gained
6	1034048	gained
6	1035008	gained
6	1035009	gained
6	1035143	gained
6	1047448	gained
6	1047820	gained
6	1050311	gained
6	1056195	gained
6	1064870	gained
6	1066669	gained
6	1070224	gained
6	1080567	gained
6	1090880	gained
6	1096181	gained
6	1097271	gained
6	1099331	gained
6	1100542	gained
6	1100623	gained
6	1100776	gained
6	1133690	gained
6	1146258	gained
6	1157945	gained
6	1159910	gained
6	1162214	gained
6	1162672	gained
6	1167196	gained
6	1173671	gained
6	1173672	gained
6	1193465	gained
6	1210709	gained
6	1218098	gained
6	1226859	gained
6	1226860	gained
6	1235049	gained
6	1235050	gained
6	1284869	gained
6	1300818	gained
6	1307845	gained
6	1308163	gained
6	1313950	gained
6	1313951	gained
6	1341157	gained
6	1342523	gained
6	1342524	gained
6	1351927	gained
6	1371930	gained
6	1381919	gained
6	1383607	gained
6	1391831	gained
6	1391832	gained
6	1393888	gained
6	1394184	gained
6	1396112	gained
6	1404626	gained
6	1406833	gained
6	1406834	gained
6	1408931	gained
6	1425846	gained
6	1431323	gained
6	1435149	gained
6	1440687	gained
6	1442489	gained
6	1442490	gained
6	1443306	gained
6	1448275	gained
6	1449375	gained
6	1449376	gained
6	1450210	gained
6	1451371	gained
6	1481101	gained
6	1496383	gained
6	1508685	gained
6	1515674	gained
6	1521733	gained
6	1524016	gained
6	1531263	gained
6	1535997	gained
6	1537298	gained
6	1538780	gained
6	1542684	gained
6	1544547	gained
6	1582233	gained
6	1640549	gained
6	1640550	gained
6	1651088	gained
6	1651089	gained
6	1651972	gained
6	1676913	gained
6	1686067	gained
6	1700783	gained
6	1700784	gained
6	1705945	gained
6	1705946	gained
6	1708800	gained
6	1708854	gained
6	1716897	gained
6	1729441	gained
6	1730861	gained
6	1732485	gained
6	1733260	gained
6	1733261	gained
6	1742316	gained
6	1742907	gained
6	1743106	gained
6	1743436	gained
6	1746414	gained
6	1749544	gained
6	1751339	gained
6	1751775	gained
6	1752039	gained
6	1755917	gained
6	1759929	gained
6	1759930	gained
6	1783494	gained
6	1784851	gained
6	1787860	gained
6	1787861	gained
6	1789380	gained
6	1826312	gained
6	1848146	gained
6	1877957	gained
6	1880107	gained
6	1905869	gained
6	1906528	gained
6	1906529	gained
6	1922841	gained
6	1934235	gained
6	1941872	gained
6	1967280	gained
6	1968756	gained
6	1968757	gained
6	1970907	gained
6	1971290	gained
6	1971291	gained
6	1991493	gained
6	1992884	gained
6	1997211	gained
6	1997863	gained
6	2000546	gained
6	2000547	gained
6	2001353	gained
6	2012081	gained
6	2012194	gained
6	2035173	gained
6	2037630	gained
6	2043479	gained
6	2047770	gained
6	2047791	gained
6	2084809	gained
6	2123743	gained
6	2133867	gained
6	2158241	gained
6	2194091	gained
6	2204273	gained
6	2209575	gained
6	2210009	gained
6	2215066	gained
6	2215621	gained
6	2233911	gained
6	2245343	gained
6	2248824	gained
6	2256625	gained
6	2277236	gained
6	2277949	gained
6	2303786	gained
6	2325410	gained
6	2345633	gained
6	2355374	gained
6	2362659	gained
6	2372559	gained
6	2374306	gained
6	2374976	gained
6	2379063	gained
6	2380609	gained
6	2382393	gained
6	2434054	gained
6	2434521	gained
6	2438230	gained
6	2439403	gained
6	2440947	gained
6	2441877	gained
6	2455633	gained
6	2456692	gained
6	2467269	gained
6	2467270	gained
6	2474245	gained
6	2477761	gained
6	2477762	gained
6	2479768	gained
6	2481289	gained
6	2492380	gained
6	2494869	gained
6	2494870	gained
6	2500700	gained
6	2517912	gained
6	2518001	gained
6	2518113	gained
6	2523194	gained
6	2529844	gained
6	2529993	gained
6	2531014	gained
6	2536876	gained
6	2542394	gained
6	2543844	gained
6	2544970	gained
6	2545305	gained
6	2546594	gained
6	2546736	gained
6	2547761	gained
6	2548902	gained
6	2553294	gained
6	2556852	gained
6	2557722	gained
6	2560033	gained
6	2560277	gained
6	2565216	gained
6	2567675	gained
6	2567899	gained
6	2572649	gained
6	2572729	gained
6	2574196	gained
6	2577305	gained
6	2577306	gained
